[2026-03-26 15:52:21.293801] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-26 15:52:21.311946] SYNC: Student Sravani (105) | Total:5 Pres:2 New%:40.0
[2026-03-26 15:52:21.323525] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
[2026-03-26 15:52:32.989851] SYNC: Student ravi (101) | Total:6 Pres:3 New%:50.0
[2026-03-26 15:52:33.002544] SYNC: Student Sravani (105) | Total:5 Pres:2 New%:40.0
[2026-03-26 15:52:33.016925] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
[2026-03-26 15:52:47.837863] SYNC: Student ravi (101) | Total:6 Pres:3 New%:50.0
[2026-03-26 15:52:47.851836] SYNC: Student Sravani (105) | Total:5 Pres:3 New%:60.0
[2026-03-26 15:52:47.863320] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
[2026-03-26 15:52:58.801781] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-26 15:52:58.805459] SYNC: Student Sravani (105) | Total:5 Pres:3 New%:60.0
[2026-03-26 15:52:58.821300] SYNC: Student Vennela (106) | Total:5 Pres:4 New%:80.0
[2026-03-26 15:53:04.950425] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-26 15:53:04.959303] SYNC: Student Sravani (105) | Total:5 Pres:3 New%:60.0
[2026-03-26 15:53:04.975031] SYNC: Student Vennela (106) | Total:5 Pres:4 New%:80.0
[2026-03-26 15:53:21.631436] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-26 15:53:21.646804] SYNC: Student Sravani (105) | Total:5 Pres:3 New%:60.0
[2026-03-26 15:53:21.657077] SYNC: Student Vennela (106) | Total:5 Pres:4 New%:80.0
[2026-03-26 15:53:29.694999] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-26 15:53:29.709660] SYNC: Student Sravani (105) | Total:5 Pres:3 New%:60.0
[2026-03-26 15:53:29.719198] SYNC: Student Vennela (106) | Total:5 Pres:4 New%:80.0
[2026-03-26 15:53:35.572222] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-26 15:53:35.588903] SYNC: Student Sravani (105) | Total:5 Pres:3 New%:60.0
[2026-03-26 15:53:35.599296] SYNC: Student Vennela (106) | Total:5 Pres:4 New%:80.0
[2026-03-26 15:53:43.744977] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-26 15:53:43.753461] SYNC: Student Sravani (105) | Total:5 Pres:3 New%:60.0
[2026-03-26 15:53:43.769343] SYNC: Student Vennela (106) | Total:5 Pres:4 New%:80.0
[2026-03-26 15:54:02.097718] SYNC: Student ravi (101) | Total:6 Pres:3 New%:50.0
[2026-03-26 15:54:02.108994] SYNC: Student Sravani (105) | Total:5 Pres:2 New%:40.0
[2026-03-26 15:54:02.130124] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
[2026-03-26 15:54:10.930087] SYNC: Student ravi (101) | Total:6 Pres:3 New%:50.0
[2026-03-26 15:54:10.946239] SYNC: Student Sravani (105) | Total:5 Pres:2 New%:40.0
[2026-03-26 15:54:10.962221] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
[2026-03-26 16:00:24.536505] SYNC: Student ravi (101) | Total:5 Pres:3 New%:60.0
[2026-03-26 16:00:24.546017] SYNC: Student Sravani (105) | Total:4 Pres:2 New%:50.0
[2026-03-26 16:00:24.546017] SYNC: Student Teja (201) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:00:24.553981] SYNC: Student Sujatha (202) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:00:24.555992] SYNC: Student Kavitha (203) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:00:24.563042] SYNC: Student Praveen (204) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:00:24.569061] SYNC: Student Praveen (301) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.570084] SYNC: Student Suresh (302) | Total:0 Pres:0 New%:100.0
